"title";"function";"keywords";"questions"
"Het bericht ‘Trekker rijbewijs zorgt voor uitsluiten buitenlandse stagiaires’  ";"C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en Waterstaat  ";"RIJBEWIJZEN#LANDBOUW#STAGES#INTERNATIONALISERING IN HET ONDERWIJS# # #";"<questions><question>1 Kent u het bericht ‘Trekkerrijbewijs zorgt voor uitsluiten buitenlandse stagiaires’? (1) </question><question>2 Is het waar dat mensen in Nederland alleen een land- en bosbouwtrekker (LBT) en een voertuig met beperkte snelheid (MMBS) mogen besturen als men een Nederlands rijbewijs heeft voor de categorie T of een Nederlands rijbewijs met de categorie B, mits afgegeven voor 1 juli 2015? </question><question>3 Kunt u toelichten waarom personen met een rijbewijs categorie B afgegeven voor 1 juli 2015 wel een LBT en of MMBS mogen besturen en personen met een rijbewijs categorie B afgegeven na deze datum niet? </question><question>4 Wat vindt u van de situatie dat buitenlandse stagiaires, afkomstig uit een land waar men geen rijbewijs T kent, maar die wel in het bezit zijn van een rijbewijs B geen LBT of MMBS mogen besturen? </question><question>5 Kunt u aangeven welke eisen werden gesteld aan het behalen van een rijbewijs B voor 1 juli 2015 en welke na 1 juli 2015? </question><question>6 Kunt u aangeven waarom een rijbewijs B in Frankrijk gebruikt mag worden voor het besturen van een personenauto, een LBT en een MMBS en dit in Nederland alleen gebruikt mag worden voor het besturen van een personenauto, tenzij het rijbewijs behaald is voor 1 juli 2015? </question><question>7 Kunt u aangeven wat het verschil in vraag 6 is tussen een rijbewijs behaald in Frankrijk voor 1 juli 2015 en na 1 juli 2015? </question><question>8 Kunt u aangeven welke landen in Europa een rijbewijs T kennen? </question><question>9 Deelt u de mening dat de huidige situatie een blokkade opwerpt voor buitenlandse stagiaires afkomstig uit landen waar men geen rijbewijs T kent? Zo nee, waarom niet? 10Deelt u de mening dat de uitwisseling van buitenlandse studenten van toegevoegde waarde is en deze blokkade opgelost zou moeten worden? Zo nee, waarom niet?(1) Omroepflevoland.nl, 24 september 2018, 'Trekker rijbewijs zorgt voor uitsluiten buitenlandse stagiairs' (https://www.omroepflevoland.nl/nieuws/164032/trekker rijbewijs-zorgt-voor-uitsluiten-buitenlandse-stagiairs)  </question></questions>"
"Het dreigende tekort aan stroom in België vanwege uitgeschakelde kernreactoren  ";"E.D. WiebesVVDMinister van Economische Zaken en KlimaatS. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en Waterstaat  ";"KERNENERGIE#ENERGIEVOORZIENING#BELGIË#NEDERLAND#ELEKTRICITEIT#KOOLDIOXIDE#AARDG#ASWINNING#GRONINGEN#KLOKKENLUIDERS# # #";"<questions><question>1 Bent u bekend met het voornemen van België om zijn buurlanden, waaronder Nederland, hulp te vragen bij dreigende stroomtekorten als gevolg van uitgeschakelde kernreactoren? (1) </question><question>2 Heeft uw Belgische collega u hier inmiddels over benaderd of verwacht u binnenkort benaderd te worden? </question><question>3 Bent u voornemens om gehoor te geven aan het hulpverzoek door België extra stroom te leveren? Zo ja, kunt u aangeven over hoeveel stroom het gaat, welke bronnen hiervoor benut zullen worden en over welke periode het gaat? </question><question>4 Kunt u uitsluiten dat de mogelijke levering van ‘noodstroom’ aan België gepaard zal gaan met extra CO2-uitstoot? Zo nee, op welke wijze gaat de extra CO2-uitstoot gemeten en gecompenseerd worden? </question><question>5 Kunt u uitsluiten dat de mogelijke levering van noodstroom aan België vertraging betekent voor de Nederlandse energietransitie en afbouw van de gaswinning uit Groningen? Zo nee, op welke wijze gaat u hier compenserende maatregelen voor treffen? </question><question>6 Bent u op de hoogte gebracht over de nieuwe problemen bij kernreactor Tihange-2, waar niet alleen sprake is van betonrot, maar waar tevens de wapening van het beton ontbreekt op de plekken waar dat volgens de plannen wel zou moeten zitten? (2) </question><question>7 Vindt u het verontrustend dat deze ontdekking afkomstig is van een klokkenluider en niet van het Federaal Agentschap voor Nucleaire Controle (FANC)? Is het waar dat de kwaliteit van het beton niet op de prioriteitenlijst bij de inspecties van het FANC staat? </question><question>8 Deelt u de mening dat, gezien het grote aantal incidenten alleen al de afgelopen maanden en het feit dat inmiddels zes van de zeven kernreactoren zijn uitgeschakeld, niet langer gesproken kan worden over losse incidenten, maar van een structureel probleem? (3) Zo ja, erkent u de noodzaak om België te overtuigen de kerncentrales zo snel mogelijk definitief te sluiten? Zo nee, waarom niet?  </question><question>9 Bent u bereid om de stroomlevering aan België vergezeld te laten gaan van een dringende oproep om de kerncentrales zo snel mogelijk te sluiten en echt werk te maken van een transitie naar duurzame vormen van energie? Zo ja, bent u bereid hierover te rapporteren aan de Kamer? Zo nee, waarom niet? 10Verwacht u een stijging van de stroomprijs voor Nederlandse huishoudens vanwege mogelijke schaarste, mocht Nederland België te hulp schieten met noodstroom? 11Bent u bereid om geen onomkeerbare stappen te nemen en besluiten over de levering van stroom aan België voor te leggen aan de Kamer? (1) https://www.nrc.nl/nieuws/2018/09/25/kerncentrales-belgie-vraagt-hulp-om-stroomtekort-op-te-kunnen-vangen-a175785</question><question>9 (2) https://www.vrt.be/vrtnws/nl/2018/10/02/nieuwe-problemen-bij-tihange-2-vastgesteld-betonijzer-zit-niet/(3)  https://www.nrc.nl/nieuws/2018/09/27/de-ene-na-de-andere-kerncentrale-valt-stil-belgie-staat-voor-een-koude-winter-a1865701  </question></questions>"
"Het gebrek aan toezicht op legionella afkomstig van afvalwaterzuiveringsinstallaties  ";"C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en WaterstaatB.J. BruinsVVDMinister voor Medische ZorgK.H. OllongrenD66Minister van Binnenlandse Zaken en Koninkrijksrelaties  ";"AFVAL#WATERZUIVERING#LEGIONELLA#NOORD-BRABANT#GEZONDHEIDSEFFECTEN#VLEESWARENINDUSTRIE# # #";"<questions><question>1 Bent u bekend met de nieuwsberichten ‘Gerard Smits (77) lag kantje boord door legionella uit waterzuiveringen’ en 1) ‘Brandbrief na heftige ziektegevallen in Brabant: niemand controleert waterzuivering op legionella’? 2)</question><question>2 Bent u bekend met het feit dat afgelopen jaar alleen al in Brabant een recordaantal van 123 mensen besmet raakte met legionella en er daarvan 11 zijn overleden? 2)</question><question>3 Bent u bekend met het feit dat zeker vijf personen ziek werden na besmetting door de afvalwaterzuivering van vleesverwerker Vion te Boxtel? Bent u ook bekend met het feit dat zeker acht mensen ziek werden, waarvan er één overleed, na besmetting door de afvalwaterzuivering van vleesdestructiebedrijf Rendac te Son en Breugel?</question><question>4 Deelt u de mening dat het absoluut onacceptabel is dat de afvalwaterzuivering van Vion en Rendac tot ziekte, permanente gezondheidsschade en zelfs sterfte leidt?</question><question>5 Kunt u aangeven hoe deze situatie heeft kunnen ontstaan en bestaan?</question><question>6 Bent u bekend met de toename in de afgelopen jaren van het aantal in Nederland opgelopen legionellabesmettingen en sterfgevallen? 3)</question><question>7 Is er onderzoek gedaan naar de oorzaak van de recente toename van het aantal in Nederland opgelopen legionellabesmettingen en sterfgevallen? Zo nee, waarom niet?</question><question>8 Bent u van plan daar onderzoek naar te doen? Zo nee, waarom niet?</question><question>9 Kunt u aangeven waarom veel installaties, die bekend zijn als bron van legionellabesmetting, risico-analyses en beheersplannen moeten maken terwijl afvalwaterzuiveraars, waarvan nu vaststaat dat ze een bron van legionellabesmettingen zijn, dat niet hoeven? Gaat u afvalwaterzuiveraars onder hetzelfde toezicht brengen?10Is er in het verleden onderzoek gedaan naar de mogelijke effecten van afvalwaterzuiveringsinstallaties voor het milieu en de volksgezondheid? Zo nee, waarom niet?11Is er onderzoek gedaan naar de relatie tussen afvalwaterzuiveringsinstallaties en legionellabesmettingen? Zo nee, bent u voornemens zulke onderzoeken in te stellen? Zo nee, waarom niet?1</question><question>2 Is onderzocht of de genomen maatregelen bij Vion en Rendac afdoende zijn om legionellabesmettingen in de toekomst te voorkomen? Zo nee, waarom niet?1</question><question>3 Klopt het dat beide afvalwaterzuiveringsinstallaties relatief nieuw waren?1</question><question>4 Is bij het ontwerp voldoende rekening gehouden met legionella? Zo nee, waarom niet?1</question><question>5 Zijn er bij andere waterzuiveringsinstallaties toereikende maatregelen genomen om legionellabesmettingen te voorkomen? Zo nee, waarom niet?1</question><question>6 Bent u bekend met het feit dat ook de eerste (bekende) uitbraak van legionella in Austin, Minnesota in 1957 plaatsvond bij een vleesverwerker? 4)1</question><question>7 Is er een reden dat bedrijven die vlees verwerken, zoals Vion en Rendac, gevoeliger zijn voor  legionella dan andere bedrijven? Zo ja, wat is die reden?1</question><question>8 Bent u, gegeven het feit dat er nu weer sterfgevallen te betreuren zijn, bereid om, mede ook gezien bijvoorbeeld de Q-koorts, een breed onderzoek te doen naar de risico’s voor de volksgezondheid in de hele productieketen van de vee-industrie? Zo nee, waarom niet?1</question><question>9 Kunt u aangeven welke reden de bevoegde gezagen (te weten gemeenten en provincies) hebben om de omgevingsdienst(en) nog niet opdracht te hebben gegeven afvalwaterzuiveringsinstallaties te controleren op legionella? Bent u voornemens hen daartoe aan te sporen of te dwingen?  </question><question>2 0Hebben de decentrale overheden naar uw mening juist gehandeld in het geval van de voorbeelden bij Vion en Rendac? Waaruit blijkt dat?</question><question>2 1Blijkt uit de beschreven voorbeelden naar uw mening dat gemeenten en provincies voldoende toegerust zijn qua kennis en middelen om adequaat toezicht te houden? Waaruit blijkt dat?</question><question>2 </question><question>2 Wat gaat u doen om het aantal besmettingen in Nederland zo snel mogelijk weer omlaag te brengen?1) Brabants Dagblad, 22 september 2018, ""Man uit Boxtel doodziek door legionella uit een waterzuivering: 'Ik heb echt kantje boord gelegen'"" (https://www.bd.nl/boxtel/doodziek-door-legionella-uit-een-waterzuivering-ik-heb-echt-kantje-boord-gelegen~a7e07319/)2) Brabants Dagblad, 22 september 2018, ""Brandbrief na heftige ziektegevallen in Brabant: niemand controleert waterzuivering op legionella"" (https://www.bd.nl/boxtel/brandbrief-na-heftige-ziektegevallen-in-brabant-niemand-controleert-waterzuivering-op-legionella~ab641699/)3) https://www.rivm.nl/Onderwerpen/L/Legionella4) NCBI, ""A 1957 outbreak of Legionnaires' disease associated with a meat packing plant"" (https://www.ncbi.nlm.nih.gov/pubmed/6823953)Toelichting:Deze vragen dienen ter aanvulling op eerdere vragen terzake van het lid Van Brenk (50 plus), ingezonden 28 september 2018 (vraagnummer 2018Z16899)  </question></questions>"
"De uitzending van Zembla ‘De Kunstgrasberg’  ";"C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en WaterstaatI.K. van EngelshovenD66Minister van Onderwijs, Cultuur en Wetenschap  ";"KUNSTSTOFFEN#ZWARE METALEN#GEMEENTEN#RECYCLING#AFVALVERWERKING#BEDROGSDELICTEN#SPORTORGANISATIES#HANDHAVING#SPEELTUINEN#MILIE#UDELICTEN# # #Relatie#Soort#Beschrijving#Link#referentie#Deze vragen dienen ter aanvulling op eerdere vragen terzake van het lid Wassenberg (PvdD), ingezonden 14 september 2018 (vraagnummer 2018Z16084)# # #";"<questions><question>1 Kent u de uitzending van Zembla genaamd ‘De Kunstgrasberg’? 1)</question><question>2 Klopt het dat er afgelopen zomer een miljoen vierkante meter aan kunstgras is verwijderd, wat neerkomt op drie duizend vrachtwagens vol vervuilende zware metalen?</question><question>3 Klopt het dat gemeentes recyclebedrijven tienduizend tot twintigduizend euro betalen om kunstgras te verwerken? Klopt het ook dat deze recyclebedrijven zich vaak niet houden aan deze afspraken en het kunstgras illegaal opslaan en/of illegaal doorverkopen? Deelt u de mening dat het zeer zorgelijk is dat deze bedrijven moedwillig vervuilen voor winst en dat deze winst betaald wordt door de Nederlandse burger?</question><question>4 Hoe vaak worden er inspecties uitgevoerd door de Inspectie Leefomgeving en Transport (ILT) bij bedrijven die kunstgras recyclen? Heeft de inspectie hier eerder over gerapporteerd? Zijn er sancties getroffen?</question><question>5 Heeft u zicht op de omvang van dit probleem? Hoeveel vierkante meter kunstgrasvelden – zowel bij sportverenigingen, speeltuinen en op andere plekken – is er in Nederland? Hoeveel procent van deze kunstgrasvelden wordt wel goed gerecycled?</question><question>6 Deelt u de mening dat het te verwachten is dat de eigenaar uitzoekt of de afvoer en verwerking compleet is, gezien het feit dat de eigenaar van een kunstgrasveld – in veel gevallen de gemeente – verantwoordelijk is voor de correcte verwerking van het afval? Wie controleert of de eigenaren naar behoren en zoals afgesproken uitvoering geven aan de afvoer en verwerking van de kunstgrasmatten? Deelt u de mening dat het zorgelijk is dat er zoveel verantwoordelijkheid wordt overgelaten aan de zelfregulatie van bedrijven?</question><question>7 Kunt u uitleggen waarom er al vergunningen worden afgegeven als handhavingsverzoeken al in de wind worden geslagen? Wordt daarmee niet alleen het handelen zonder vergunning maar ook illegale praktijken, zoals het laten verwaaien van verontreinigd zand en rubbergranulaat, gedoogd?</question><question>8 Kunt u toelichten hoe het mogelijk is dat er al jaren wordt gewaarschuwd voor dit probleem, maar dat het nu pas aan het licht komt? Als er al zoveel milieuovertredingen geconstateerd zijn en de beleidsinstrumenten geen effect hebben gehad, waarom is de gemeente of provincie dan niet overgegaan tot het indienen van een klacht bij het openbaar ministerie?</question><question>9 Hoe kan het dat we geologisch schaarse metalen, zoals zink en kobalt, uit het rubbergranulaat laten weglekken in de bodem in plaats van terugwinnen en weer hergebruiken? </question><question>10 Is het rubbergranulaat dat voor kunstgrasvelden wordt gebruikt afkomstig van geïmporteerde (verbruikte) autobanden? Wordt er gecontroleerd op schadelijke invasieve soorten, zoals tijgermuggen en gelekoortsmuggen, aangezien de import van autobanden regelmatig samen gaat met de ongewilde import van deze schadelijke invasieve soorten? Is hier inmiddels beleid op? Is het niet beter om afval (zoals autobanden) in het land van herkomst te verwerken tot nieuwe grondstoffen en dan pas te verschepen?</question><question>11 Wie is verantwoordelijk voor het opgeslagen onverwerkte kunstgras als een verwerkend bedrijf failliet gaat? Hoe is dit nu geregeld met andere bedrijven die grote voorraden giftig afval hebben opgeslagen of die andere milieusaneringen van bijvoorbeeld grond of gebouwen moeten uitvoeren.</question><question>12 Heeft u cijfers van de maatschappelijke kosten-batenanalyse (MKBA) over de maatschappelijke kosten en baten van kunstgrasvelden, niet alleen met betrekking tot het klimaat maar ook met betrekking tot bijvoorbeeld de grotere kans op blessures en de kosten hiervan? Heeft u dan ook cijfers over de maatschappelijke baten van natuurgrasvelden met betrekking tot CO2-opvang, klimaatadaptatie en wateropvang?</question><question>13 Deelt u de mening dat er, gezien de omvang van het probleem, een noodzaak is dat er met spoed gezocht moet worden naar duurzamere alternatieven voor kunstgras? Heeft er ooit een onafhankelijke studie plaatsgevonden naar de kosten en baten van verschillende toepassingen voor sportvelden? Zo nee, bent u bereid om er een diepteonderzoek naar te laten doen?1) Zembla, 13 september 2018, ‘De kunstgrasberg’ (https://zembla.bnnvara.nl/nieuws/de-kunstgrasberg)Toelichting:Deze vragen dienen ter aanvulling op eerdere vragen terzake van het lid Wassenberg (PvdD), ingezonden 14 september 2018 (vraagnummer 2018Z16084)  </question></questions>"
"Illegale praktijken rondom recycling van kunstgras  ";"C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en WaterstaatM.G.J. HarbersVVDStaatssecretaris van Justitie en Veiligheid  ";"RECYCLING#KUNSTSTOFFEN#GEMEENTEN#MILIEUVERGUNNI#NGEN#PROVINCIES#HANDHAVING#MILIEUDELICTEN#CHANTAGE#FAILLISSEMENTEN#CRIMINALITEIT# # #";"<questions><question>1 Heeft u de aflevering van Zembla gezien, waaruit blijkt dat recyclingbedrijven van kunstgras structureel milieuregels overtreden om zo meer geld te kunnen verdienen en dat lagere overheden dit oogluikend toestaan? 1)</question><question>2 Wat vindt u ervan dat gemeentes veel geld betalen (tussen de 10.000 en 20.000 euro per veld) aan bedrijven om kunstgras te recyclen, maar dat deze bedrijven vervolgens – zonder de juiste vergunning – deze kunstgrasvelden laten liggen waardoor vervuilende stoffen de bodem inlekken, doorverkopen aan particulieren of dumpen in het buitenland?</question><question>3 Hoe verklaart u dat niet één gemeente hierop heeft gecontroleerd, terwijl zij wel een zorgplicht hebben (pas na aflevering van het certificaat van goede ververwerking zijn zij ontdaan van hun verantwoordelijkheid)?</question><question>4 Wat vindt u er ervan dat de Omgevingsdienst spreekt van ‘ernstige overtredingen’ en ‘calculerend gedrag’, maar de provincie en gemeente waar deze recyclingbedrijven gevestigd zijn deze overtredingen gedogen? Hoe beoordeelt u dat de provincie Gelderland het in Barneveld gevestigde recyclebedrijf al meer dan een jaar kunstgras laat opslaan zonder vergunning?</question><question>5 Wat vindt u ervan dat de recyclingbedrijven zich failliet kunnen laten verklaren en gemeentes daarmee met de verwerkingskosten van het kunstgras opzadelen (mogelijk oplopend tot miljoenen euro’s) en daarmee in feite een chantagemiddel in handen hebben om handhavend gedrag door gemeentes tegen te gaan?</question><question>6 Deelt u de mening dat dit misdadig gedrag is? Deelt u de mening dat misdaad voor deze recyclingbedrijven niet zou mogen lonen? Zo nee, waarom niet?</question><question>7 Op welke wijze kan worden voorkomen dat de directies van deze recyclingbedrijven het hazenpad nemen en niet op tijd ter verantwoording kunnen worden geroepen? Bent u bereid om alles op alles te zetten en uw invloed aan te wenden om te zorgen dat de directies van deze bedrijven verantwoording afleggen?</question><question>8 Erkent u dat afvalverwerkers een lange traditie van structurele milieucriminaliteit hebben? Vindt u dat u hier voldoende aandacht voor is en is geweest? Zo ja, hoe verklaart u dan dat deze overtredingen structureel zijn en dat dat de overtredingen kennelijk ongehinderd konden doorgaan? Vindt u dat uw beleid voldoende effectief is? Zo ja, waaruit blijkt dat? Zo nee, waarom niet?</question><question>9 Bent u bereid tot aanvullende maatregelen om hier paal en perk aan te stellen? Zo ja, welke? Zo nee, waarom niet?1) Zembla, 12 september 2018, ""ZEMBLA onthult: recyclingbedrijven kunstgras overtreden structureel milieuregels"" (https://zembla.bnnvara.nl/nieuws/zembla-onthult-recyclingbedrijven-kunstgras-overtreden-structureel-milieuregels  </question></questions>"
"De halfjaarcijfers van de NS  ";"W.B. HoekstraCDAMinister van FinanciënC. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en Waterstaat  ";"NEDERLANDSE SPOORWEGEN#INKOMENS#FINANCIERING#STUDENTEN#OPENBAAR VERVOER# # #";"<questions><question>1 Kent u het bericht “Schommelingen” ten aanzien van de halfjaarcijfers van de Nederlandse Spoorwegen? (1)</question><question>2 Deelt u de conclusie dat het binnen- en buitenlandse treinvervoer zo’n 2,9 miljard euro binnen bracht aan inkomsten en daarmee een nettorendement had van 1%? Zo ja, wat is de bandbreedte voor het normrendement van NS en hoe verhoudt deze 1% zich hier mee? Kunt u de ontwikkeling van het normrendement over de afgelopen tien jaar weergeven?</question><question>3 Deelt u de gedachte dat de NS de gestelde rendementseis van 7% makkelijk zou moeten kunnen halen, omdat men op het hoofdrailnet geen concurrentie kent? Zo ja, hoe komt het dan dat de NS daartoe niet in staat is?</question><question>4 Vindt u het ook opmerkelijk dat er een enorme omslag in het werkkapitaal en de financiering van de dagelijkse werkzaamheden heeft plaatsgevonden, nu er een verschil met vorig jaar is van 400 miljoen euro?</question><question>5 Deelt u de conclusie van de NS dat het verschil vooral te verklaren is vanwege de ov-studentenkaart, waardoor het Rijk eens per jaar aan de NS per student ruim 1100 euro betaalt?</question><question>6 Klopt het dat het moment van uitbetalen van het Rijk, aan het eind van het jaar dan wel aan het begin, bepalend is voor het werkkapitaal in enig jaar voor de omvang van een kwart miljard euro? Zo ja, welk beleid volgt het Rijk ten aanzien van het moment van uitbetalen bij de NS en vergelijkbare bedrijven? (1) Financieel Dagblad d.d. 31 augustus 2018 (https://fd.nl/ondernemen/1267636/schommeling)   </question></questions>"
"Het artikel ‘Shell krijgt subsidie voor bouw waterstofstations’  ";"S. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en Waterstaat  ";"MULTINATIONALS#SUBSIDIES#WATERSTOF# # #";"<questions><question>1 Kent u het artikel ‘Shell krijgt subsidie voor bouw waterstofstations’? (1)</question><question>2 Klopt het dat Shell vier miljoen euro subsidie ontvangt van de Rijksdienst voor Ondernemend Nederland (RVO) voor het bouwen van vier nieuwe waterstofstations? Hoe is dit bedrag tot stand gekomen?</question><question>3 Deelt u de mening dat batterij-elektrisch rijden een duurzamer alternatief is dan waterstof-elektrisch rijden gezien het feit dat batterijen een hogere energie-efficiëntie hebben?</question><question>4 Klopt het dat Shell ook waterstof verkrijgt uit aardgas in plaats van uit duurzame bronnen? Deelt u de mening dat de manier waarop Shell waterstof produceert niet bijdraagt aan duurzame ontwikkeling?</question><question>5 Klopt het dat batterij-elektrische laadstations nog nooit subsidie hebben ontvangen van het RVO?</question><question>6 Deelt u de mening dat batterij-elektrische laadstations minstens zoveel recht hebben op subsidie van het RVO als waterstof-elektrische laadstations?</question><question>7 Deelt u de mening dat Shell, het grootste bedrijf van Nederland, deze waterstoftankstations prima zelf had kunnen bekostigen? Deelt u de mening dat het meer impact zou hebben wanneer deze vier miljoen euro zou worden besteed aan batterij-elektrische laadstations? (1) Financieel Dagblad, 21 augustus 2018, ‘Shell krijgt subsidie voor bouw waterstofstations’ (https://fd.nl/ondernemen/1266643/shell-krijgt-subsidie-voor-bouw-waterstofstations)   </question></questions>"
"Het artikel ‘Lightyear in Helmond wil lage bijtelling zonne-auto's’  ";"S. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en Waterstaat  ";"MOTORRIJ#TUIGEN#ZONNE-ENERGIE#BELASTINGHEFFING#INNOVATIE#WATERSTOF# # #";"<questions><question>1 Bent u bekend met het artikel ‘Lightyear in Helmond wil lage bijtelling zonne-auto's’ ? (1)</question><question>2 Bent u bekend met de techniek van de zonne-auto? Zo ja, op welke wijze ondersteunt u deze innovatie?</question><question>3 In hoeverre is het mogelijk om een houdbare definitie van een zonne-energie auto te formuleren en is de Rijksdienst voor Wegverkeer (RDW) bereid hieraan medewerking te verlenen? Welke criteria zouden hiervoor een uitgangspunt kunnen zijn?</question><question>4 Deelt u de mening dat duurzame innovaties zoals de zonne-auto van Lightyear nieuwe kansen bieden voor de auto-industrie in Nederland en daarmee de steun verdienen van de overheid in de start-upfase?</question><question>5 Ziet u kansen om de uitzondering op de bijtelling die voor waterstofauto's geldt ook toe te passen op auto’s die direct op zonne-energie rijden?(1) ED, 17 augustus 2018, Lightyear in Helmond wil lage bijtelling zonne-auto's (https://www.ed.nl/economie/lightyear-in-helmond-wil-lage-bijtelling-zonne-auto-s~a5c2d917/)  </question></questions>"
"Het artikel ‘Ongeplande uitval kerncentrale Borssele kost zeker tien miljoen’  ";"S. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en WaterstaatMede namens:E.D. WiebesVVDMinister van Economische Zaken en KlimaatW.B. HoekstraCDAMinister van Financiën  ";"KERNCENTRALES#FINANCIERINGSFONDSEN#KERN#REACTORONGEVALLEN#CIJFERS#ZEELAND#ENERGIEBEDRIJVEN#EUROPA#MARKTWERKING# # #";"<questions><question>1 Bent u bekend met het artikel “Ongeplande uitval kerncentrale Borssele kost zeker tien miljoen”, waaruit blijkt dat de ongeplande uitval van de kerncentrale in Borssele die nu een maand duurt minstens tien miljoen euro aan inkomstenderving heeft gekost voor de Elektriciteits Produktiemaatschappij Zuid-Nederland (EPZ)? (1) </question><question>2 Klopt het dat de ontmanteling van kerncentrale Borssele gefinancierd wordt door een fonds dat gevuld wordt met de winst van de kerncentrale Borssele? Hoe groot is dat fonds op dit moment?   </question><question>3 Komt de vulling van dit fonds in gevaar door het uitvallen van de kerncentrale? Zo ja, hoe wordt ervoor gezorgd dat het fonds toch voldoende gevuld wordt? Zo nee, waarom niet? </question><question>4 Hoeveel geld is er nodig om de kerncentrale op een nette en veilige wijze te ontmantelen? Wat is de meest recente berekening van deze kosten en wanneer komt de volgende berekening hiervan? Kunt u een overzicht geven van de eerdere berekeningen van de ontmantelingskosten? Kunt u een recent overzicht geven van de inschattingen en berekeningen van ontmantelingskosten per centrale in Europa en hoe die zich historisch ontwikkeld hebben? Klopt het dat de ontmantelingskosten de afgelopen decennia steeds hoger worden ingeschat? </question><question>5 Deelt u de verwachting dat naarmate de kerncentrale ouder wordt de kerncentrale vaker zal uitvallen en er steeds meer geld in de kerncentrale moet worden gestoken om energie te blijven produceren? Kunt u een overzicht geven van incidenten bij alle Europese kerncentrales van de laatste vijftien jaar met daarbij ook de leeftijd per kerncentrale ten tijde van het incident? </question><question>6 Klopt het dat de aandeelhouders van de kerncentrale de facto verlies lijden op de kerncentrale gezien de oude contracten rondom de stroomafname? Klopt het dat de Provinciale Zeeuwse Energie Maatschappij (PZEM) verlies moet nemen op elke kilowattuur aan atoomstroom die wordt verkocht? Klopt het dat de kerncentrale (EPZ) winst maakt terwijl de aandeelhouders (PZEM) tegelijkertijd al het door hen aan de verkoop van Delta onderdelen verdiende geld momenteel opbranden ten gevolge van de verplichte stroomafname tegen een niet marktconforme, veel te hoge prijs? </question><question>7 Draagt EPZ uit de winst weer geld af aan de aandeelhouders om de verliezen te compenseren? Zo nee, waarom niet? Zo ja, hoe ziet de constructie er precies uit? </question><question>8 Deelt u de mening dat het beter is de kerncentrale op korte termijn te sluiten om te voorkomen dat de kerncentrale een steeds grotere financiële last wordt? Zo nee, waarom niet? </question><question>9 Hoe waarborgt u dat er voldoende middelen beschikbaar zijn voor de ontmanteling van de kerncentrale Borssele?(1) Omroep Zeeland, 4 september 2018, ""Ongeplande uitval kerncentrale Borssele kost zeker tien miljoen"" (https://www.omroepzeeland.nl/nieuws/107971/Ongeplande-uitval-kerncentrale-Borssele-kost-zeker-tien-miljoen)   </question></questions>"
"Het artikel ‘Man smokkelt wapenonderdelen uraniumfabriek Gronau binnen’  ";"S. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en Waterstaat  ";"WAPENS#DUITSLAND#URANIUMVERRIJKING#BEVEILIGINGSDIENSTEN# # #";"<questions><question>1 Kent u het artikel ‘Man smokkelt wapenonderdelen uraniumfabriek Gronau binnen’?(1)</question><question>2 Deelt u de mening dat het zeer zorgelijk is dat iemand regelmatig wapenonderdelen kan binnensmokkelen op het terrein van een verrijkingsfabriek? Wat zouden de gevolgen kunnen zijn van het gebruik van of het dreigen met wapens op het terrein van een verrijkingsfabriek?</question><question>3 Kan zich een vergelijkbare situatie als in Gronau voordoen bij de verrijkingsfabriek van Urenco in Almelo? Zijn er in het verleden bij Urenco Almelo wapens en/of wapenonderdelen aangetroffen?</question><question>4 Is er naar aanleiding van het incident in Gronau ook bij de fabriek van Urenco in Almelo gezocht naar wapens en/of onderdelen van wapens? Zo nee, waarom niet? Zo ja, met welk resultaat?</question><question>5 Zijn er aanvullende maatregelen doorgevoerd in de beveiliging van de fabriek van Urenco in Almelo? Zo nee, waarom niet? Zo ja, welke aanvullende maatregelen zijn genomen?</question><question>6 Welke rol vervult de Autoriteit Nucleaire Veiligheid en Stralingsbescherming (ANVS) met betrekking tot dit incident? Heeft de ANVS aangedrongen op aanvullende maatregelen?(1) Tubantia.nl, 21 augustus 2018, 'Man smokkelt wapenonderdelen uraniumfabriek Gronau binnen', (https://www.tubantia.nl/regio/man-smokkelt-wapenonderdelen-uraniumfabriek-gronau-binnen~a36d1af9/)   </question></questions>"
