title;function;keywords;questions
De plannen voor grootschalige zandwinning in het IJsselmeer voor de kust van Friesland  ;C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en WaterstaatC.J. SchoutenCUMinister van Landbouw, Natuur en Voedselkwaliteit  ;IJSSELMEER#DELFSTOFFENWINNING#FRIESLAND#MILIEUOVERLAST#DRINKWATER#RIJKSWATERSTAAT#NATUURBEHOUD;<questions><question>1 Heeft de huidige beoogde locatie de minste impact op (de omgeving van) het IJsselmeer in relatie tot natuur-, milieu-, geluid- of andere hinder of zijn er andere locaties waar ook geschikt zand is en waar de ingreep minder impact heeft? (1)</question><question>2 Heeft Royal Smals IJsselmeer BV bij het onderzoek naar geologisch geschikte locaties ook andere geschikte locaties in het IJsselmeer gevonden? Zo ja, op basis waarvan is de keuze voor de huidige beoogde locatie bepaald? Door wie? En welke nadelen en voordelen heeft deze locatie ten opzichte van de origineel beoogde locatie?</question><question>3 Waarop baseren PWN-Drinkwaterbedrijf en Rijkswaterstaat (RWS) hun oordeel dat geen of verwaarloosbare effecten te verwachten zijn van de zandwinning op de drinkwatervoorziening?</question><question>4 In hoeverre is er sprake van cumulatieve negatieve effecten voor (de omgeving van) het IJsselmeer bij de realisatie van de zandwinning voor bijvoorbeeld vogels en de onderwaternatuur? In hoeverre is dat bij de afweging van de locatiekeuze betrokken door Royal Smalls IJsselmeer BV? In hoeverre is dat bij de afweging van de locatiekeuze betrokken door Provincie Fryslân?</question><question>5 Zijn er alternatieven voor de verwerking van het zand ten opzichte van een nieuw aan te leggen eiland met industriehallen, bijvoorbeeld winning in en rond de vaargeulen van het IJsselmeer en verwerking in bestaande industriële gebieden aan het IJsselmeergebied? Zo ja, zijn in die afweging ook aspecten zoals de beoogde effecten voor natuur, milieu, geluid en andere hinder betrokken?</question><question>6 Zijn er voor u bezwaren tegen zandwinning in het IJsselmeer op de origineel beoogde locatie? </question><question>7 Zijn er voor RWS bezwaren tegen zandwinning in het IJsselmeer op de origineel beoogde locatie?</question><question>8 Is het noodzakelijk een ADC-toets te doorlopen indien significante effecten op Natura2000-doelstellingen bij voorgenomen projecten niet uitgesloten kunnen worden? Zo ja, waarom heeft er geen ADC-toets plaatsgevonden?</question><question>9 Geeft de uitspraak van 25 juli 2018 door het Europese Hof in de zaak Grace (zaak C164/17, ECLI:EU:C:2018:593) waaruit blijkt dat ook in Vogelrichtlijngebieden de grens tussen mitigatie en compensatie is aangescherpt, aanleiding om een ADC-toets te doorlopen?</question><question>10 In hoeverre heeft de provincie Fryslân commentaar van de Commissie m.e.r. op versies van de MER in de definitieve MER of het vervolgproces betrokken? Acht u dat voldoende?</question><question>11 Welke belangen, winning of natuurwaarden, moet RWS in haar besluitvorming laten prevaleren, aangezien in natuurgebieden op het land beheer (terreinbeheerder) en vergunningsverstrekking (provincie) gescheiden zijn (de terreinbeheerder draagt verantwoordelijkheid voor de natuur, komt hier voor op en adviseert bij de behandeling van vergunningaanvragen. RWS heeft in het IJsselmeergebied zowel de rol als beheerder van het Natura 2000-gebied, is penvoerder van het Natura 2000-beheerplan en is betrokken bij de vergunningverlening rondom zandwinning (watervergunning))?</question><question>12 In hoeverre is de voorgenomen zandwinning passend binnen de structuurvisie van provincie Fryslân “Grutsk op ‘e Romte” en de afspraken die zijn gemaakt in de Agenda IJsselmeergebied 2050, welke op 17 mei 2018 door 60 partijen is ondertekend?</question><question>13 Kunt u deze vragen beantwoorden voordat de besluitvorming in gemeente De Fryske Marrengeagendeerd staat?(1) Zie ook Aanhangsel Handelingen, vergaderjaar 2018-2019, nr. 1047  </question></questions>
Problemen op de Maaslijn  ;S. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en Waterstaat  ;INFRASTRUCTUUR#SPOORLIJNEN#CONCESSIES#OPENBAAR VERVOER#STUDENTEN#TREINEN#LIMBURG#GELDERLAND#PROVINCIES#OVERHEID#KWALITEIT;<questions><question>1 Kent u het bericht 'Reiziger op Maaslijn moet wachten op hopeloos verdeelde provincies'? (1)</question><question>2 Is het u bekend dat de provincies Limburg en Gelderland onderling in conflict zijn over een nieuw miljoenentekort voor de Maaslijn? Zo ja, wat is uw mening hierover?</question><question>3 Kunt u aangeven hoe de financiële afspraken en verantwoordelijkheden thans luiden tussen de verschillende provincies en de rijksoverheid? Wilt u daarbij aangeven welke bedragen (harde) infrastructuur dan wel materiaal betreffen en hoe de verhouding van financiën en kwaliteit is? Hoe liggen deze afspraken voor de huidige situatie en hoe voor de nieuwe situatie (elektrificatie, extra spoor etc.)?</question><question>4 Kunt u specificeren wat de rol van de vervoersmaatschappij in deze is en of partijen (concessieverleners en –nemers) de gemaakte afspraken nakomen? Welke maatregelen zijn er genomen om de inzet van materieel op het 'oude' niveau terug te brengen, dat wil zeggen voor de brand en de aanrijding?</question><question>5 Kunt u aantonen welke groepen van reizigers het meest geraakt worden door de nieuwe situatie en daarbij expliciet in te gaan op de positie van scholieren en studenten? Wilt u ook aangeven welk perspectief geboden kan worden aan die reizigers?</question><question>6 Bent u bereid om zelf een bemiddelende rol te spelen dan wel een mediator aan te wijzen opdat verdere vertraging van besluitvorming en escalatie van het conflict wordt voorkomen en waarbij wordt aangedrongen op maximale inspanning van alle betrokken partijen om de huidige problemen op te lossen?</question><question>7 Deelt u de mening dat de huidige situatie onacceptabel is voor het imago van de trein in de regio als betrouwbaar alternatief?(1) De Gelderlander, 14 januari 2019, 'Reiziger op Maaslijn moet wachten op hopeloos verdeelde provincies' (https://www.gelderlander.nl/cuijk/reiziger-op-maaslijn-moet-wachten-op-hopeloos-verdeelde-provincies~a53d43ca/)  </question></questions>
Het bericht ‘Politie zoekt getuigen van levensgevaarlijke rit over wielerparcours’  ;F.B.J. GrapperhausCDAMinister van Justitie en VeiligheidB.J. BruinsVVDMinister voor Medische ZorgC. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en Waterstaat  ;VERKEERSVEILIGHEID#WIELERSPORT#VRIJWILLIGERSWERK#LIMBURG#POLITIE#TOEZICHT;"<questions><question>1 Kent u het artikel 'Politie zoekt getuigen van levensgevaarlijke rit over wielerparcours'? (1) Bent u op de hoogte van berichten als 'Politiebegeleiding juniorklassiekers op de tocht' (2) en '46e omloop NWO afgebroken wegens ongeval'? (3)</question><question>2 Onderschrijft u de noodzaak dat wielerkoersen voor de verkeersveiligheid goed beveiligd moeten zijn? Deelt u de mening dat daarbij veel taken die in het verleden bij de politie rustten, tegenwoordig ook door gekwalificeerde vrijwilligers (de zogenoemde motards) gedaan kunnen worden? Wat is daarvoor nodig om dat veilig te kunnen uitvoeren?</question><question>3 Bent u op de hoogte van initiatieven van de Koninklijke Nederlandse Motorrijders Vereniging (KNMV) en de Koninklijke Nederlandsche Wielren Unie (KNWU) samen om bij wielerkoersen in samenwerking met de politie diensten te verlenen door vrijwillige dynamische verkeersregelaars, de zogenoemde motards?</question><question>4 Deelt u de mening dat mogelijk aanpassing van artikel 58a lid 4 van het Besluit administratieve bepalingen inzake het wegverkeer (BABW) ervoor kan zorgen dat (beroeps-)verkeersregelaars een wettelijke basis kunnen verkrijgen en dat dit kan helpen in de uitvoering van hun taken?</question><question>5 Is het waar dat door een terugtrekkende politie vanaf 2020 wellicht nog maar de helft van alle wielerkoersen in Nederland doorgang kan vinden omdat de politie keuzes moet maken en afwezig blijft? Is dit een wenselijke ontwikkeling? Zijn er methoden om dat te voorkomen door inzet van derden? Welke mogelijkheden zijn er om de politie voortaan meer te laten optreden als regisseur dan als uitvoerder, waarbij de politie de beroepsverkeersregelaars, de vrijwilligers en andere betrokkenen onder begeleiding aanstuurt en zelf een stap terug doet?</question><question>6 Sommige Provincies, zoals Limburg, kennen veel koersen, hetgeen waarde toevoegt voor het gebied, bewoners, ondernemers, gasten en wielerrecreanten; is het denkbaar dat organisatoren, om goede en veilige koersen te behouden, een financiële bijdrage leveren aan de politie om de noodzakelijke taken toch gedaan te krijgen?</question><question>7 Wat zijn de mogelijkheden voor Stichting Verkeersregelaars Nederland (SVNL), KNWU, Nederlandse Toer Fiets Unie (NTFU) en Nederlands Olympisch Comité en de Nederlandse Sport Federatie (NOC-NSF) om voorlichting te geven over veilig verkeersgedrag en daarmee voor zowel professionele, als voor toertochten de verkeersveiligheid positief te beïnvloeden? Deelt u de mening dat een gedragsverandering kan bijdragen aan het terugdringen van de politiebegeleiding?</question><question>8 Nu geeft de KNWU wielerwedstrijden door aan de Landelijke Eenheid van de politie, is dat een goede werkwijze, of kan het helpen dat lokale eenheden zelf bepalen welke en hoeveel inzet zij plegen bij wielerevenementen, rekening houdende met de landelijke politiestandaard?</question><question>9 Bent u bereid om de genoemde partijen aan te horen en te bezien welke problemen en uitdagingen gezamenlijk opgelost kunnen worden als de inzet van politie minder wordt?(1) De Limburger, 2 mei 2017, https://www.limburger.nl/cnt/dmf20170502_00039914/politie-zoekt-getuigen-van-levensgevaarlijke-rit-over-wielerparcours2) Cyclingonline.nl, 6 november 2018, https://www.cyclingonline.nl/artikel/15569_politiebegeleiding_juniorenklassiekers_op_de_tocht.html(3) Stichting Wielerpromotie Genemuiden, 7 april 2018, http://www.omloopnwo.nl/  </question></questions>"
Het vervangen van asbestdaken voor zonnepanelen  ;E.D. WiebesVVDMinister van Economische Zaken en KlimaatS. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en WaterstaatC.J. SchoutenCUMinister van Landbouw, Natuur en Voedselkwaliteit  ;ASBEST#ZONNE-ENERGIE#ELEKTRICITEIT#KOOLDIOXIDE#GEBOUWEN#L#ANDBOUW#WONINGEN;<questions><question>1 Kent u het bericht 'Essent vervangt asbestdak in ruil voor zonnestroom'? (1)</question><question>2 Deelt u de mening dat het project 'Dakvrienden' aan zowel CO2-reductie als aan het verwijderen asbest van daken van agrarische gebouwen kan bijdragen? Zijn u meer van dergelijke initiatieven bekend?</question><question>3 Deelt u de mening dat gezien de bijdrage aan de overheidsdoelstellingen van CO2-reductie en asbestverwijdering dergelijke projecten door u gestimuleerd zouden moeten worden? Zo ja, op welke wijze gaat u dat doen? Zo nee, waarom deelt u die mening niet?</question><question>4 Bent u bereid om in overleg met de energiebedrijven en de agrarische sector te bezien hoe dergelijke projecten kunnen worden verbreed? Zo ja, op welke termijn gaat u dat doen en kunt u de Kamer van de resultaten van dat overleg op de hoogte brengen? Zo nee, waarom bent u daartoe niet bereid?</question><question>5 Acht u projecten waarbij een energiemaatschappij de sanering van asbestdaken financiert met als compensatie zonnepanelen waarvan de opbrengst voor de energiemaatschappij is, ook geschikt om particuliere woningeigenaren met asbestdaken te helpen bij het vernieuwen van hun daken? Zo ja, bent u bereid om ook hierover met de energiebedrijven en andere belanghebbende organisaties in overleg te treden? Zo nee, waarom niet?(1) Dagblad van het Noorden, 16 januari 2019, p. 20  </question></questions>
Minimumleeftijd voor taxichauffeurs  ;S. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en Waterstaat  ;TAXATIES#BEROEPSUITOEFENING#KWALITEIT#VERKEERSONGEVALLEN#JEUGDIGEN;<questions><question>1 Bent u bekend met het bericht ‘23 jaar en 2 jaar rijervaring: PvdA wil minimumleeftijd voor taxichauffeurs’? (1)</question><question>2 Is het waar dat taxichauffeurs onder de 23 jaar en met weinig rijervaring meer schade en ongelukken veroorzaken dan oudere taxichauffeurs?</question><question>3 Deelt u de mening dat een taxichauffeur een grote verantwoordelijkheid heeft en dat rijervaring daarbij van groot belang is?</question><question>4 Wat vindt u van het voorstel, afkomstig van de Amsterdamse PvdA-fractie, om een minimumleeftijd van 23 jaar in te stellen voor alle taxichauffeurs? Bent u bereid om zo een regeling te overwegen en zo snel mogelijk in te voeren om verdere ongelukken te voorkomen?(1) AT5.nl, 17 januari 2019, '23 jaar en 2 jaar rijervaring: PvdA wil minimumleeftijd voor taxichauffeurs' (https://www.at5.nl/artikelen/190731/23-jaar-en-2-jaar-rijervaring-pvda-wil-minimumleeftijd-voor-taxichauffeurs)  </question></questions>
De berichten dat prijsvechter Level vanaf Schiphol gaat vliegen vanaf komende zomer en het bericht dat RyanAir stunt met prijzen van €5 naar Londen  ;C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en Waterstaat  ;SCHIPHOL#LUCHTVAART#LUCHTHAVENS#REGIONALE LUCHTHAVENS#OVERHEIDSBEMOEIENIS#PRIJZEN#MILIEUBEHEER;<questions><question>1 Bent u op de hoogte van het plan van prijsvechter Level om vanaf deze zomer vanaf Schiphol te gaan vliegen naar diverse Europese bestemmingen? (1)</question><question>2 Worden hiervoor de laatste vrije slots op Schiphol gebruikt of alleen slots die nu aan een dochtermaatschappij zijn toebedeeld?</question><question>3 Op welke manier dragen deze vluchten bij aan de mainportfunctie van Schiphol?</question><question>4 Is het selectiviteitsbeginsel van toepassing als maatschappijen en dochters van dezelfde koepel onderling slots ruilen of aan elkaar afstaan?</question><question>5 Klopt het dat de slotcoördinator geen manieren heeft om dergelijke vluchten te weren, of om vluchten die meer bijdragen aan de mainportfunctie te prioriteren?</question><question>6 Bent u van mening dat de overheid de instrumenten zou moeten hebben om te kunnen prioriteren op schonere en stillere vliegtuigen, en bestemmingen die bijdragen aan de netwerkfunctie van Schiphol? Zo ja, welke concrete stappen gaat u zetten om dit te bereiken?</question><question>7 Zijn vluchten voor €5 naar Londen vanaf Eindhoven Airport onderdeel van het Nederlands luchtvaartbeleid? (2)</question><question>8 Deelt u de mening dat de schaarse ruimte op onze luchthavens en de nog schaarsere milieuruimte zorgvuldig moeten worden ingevuld, en dat vluchten naar Londen voor €5 hier geen onderdeel van zouden moeten zijn? Zo ja, welke instrumenten heeft u om dergelijke vluchten te voorkomen?(1) Up in the Sky, 9 januari 2019 (https://www.upinthesky.nl/2019/01/09/prijsvechter-level-opent-basis-op-schiphol/) en website De Telegraaf, 10 januari 2019 (https://www.telegraaf.nl/financieel/3007404/iag-prijsvechter-level-wil-basis-op-schiphol)(2) Luchtvaartnieuws, 4 januari 2019 (https://www.luchtvaartnieuws.nl/nieuws/categorie/2/airlines/ryanair-verkoopt-vliegtickets-eindhoven-londen-voor-5-euro)  </question></questions>
Het bericht ‘Planbureau rommelt’  ;C.J. SchoutenCUMinister van Landbouw, Natuur en VoedselkwaliteitS. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en WaterstaatE.D. WiebesVVDMinister van Economische Zaken en Klimaat  ;PLANBUREAU VOOR DE LEEFOMGEVING#WETENSCHAPPELIJK ONDERZOEK#CIJFERS#INFORMATIEVOORZIENING#BROEIKASEFFECT#VLEES#KLIMAATVERANDERING#REGERINGSBELEID;"<questions><question>1 Bent u bekend met het bericht ‘Planbureau rommelt’? (1)</question><question>2 Deelt u de mening dat het zorgelijk is als een onafhankelijk en wetenschappelijk adviesinstituut van de overheid onjuiste en ongefundeerde gegevens publiceert? Zo ja, hoe wilt u dit in de toekomst voorkomen? Zo nee, waarom niet?</question><question>3 Vindt u dat de overheid haar beleid moet bepalen op onafhankelijk wetenschappelijk onderzoek? Zo nee, waarom niet? Zo ja, hoe vergewist u zich van onafhankelijke wetenschappelijke juistheid?</question><question>4 Bent u voornemens de Kamer zo snel als mogelijk op de hoogte te brengen van de uitkomsten van het nadere onderzoek van het Planbureau voor de Leefomgeving (PBL) omtrent de impact van vlees op het klimaat? Zo nee, waarom niet? Zo ja, hoe snel verwacht u de Kamer te kunnen informeren?</question><question>5 Hoe verklaart u de in eerste instantie onjuiste, te hoog berekende uitstoot van broeikasgassen (daling van 40%) door het PBL?</question><question>6 Hoe verklaart u het verschil in uitkomst na rectificatie, het verschil tussen de 9% van het PBL en de 2 tot 4 % van de stichting Agri Facts, gezien stichting Agri Facts bij het berekenen van de cijfers gebruik maakt van dezelfde data als het PBL?</question><question>7 Is het PBL-onderzoek naar de impact van vlees op het klimaat ongevraagd? Zo nee, wie heeft opdracht gegeven voor het houden van het onderzoek?</question><question>8 In hoeveel gevallen is er beleid gemaakt op basis van onjuiste of voorbarige PBL-gegevens?</question><question>9 Bent u voornemens verder onderzoek te doen naar de feitelijke correctheid van de gegevens en adviezen van het PBL uit het verleden? Zo nee, waarom niet? Zo ja, hoe wilt u dit onderzoeken?</question><question>10 In hoeveel en welke gevallen in de afgelopen tien jaar hebben de ministeries van Landbouw, Natuur en Voedselkwaliteit (LNV), Infrastructuur en Waterstaat (IenW) en Economische Zaken en Klimaat (EZK) adviezen van het PBL gebruikt bij het maken van beleid (graag een uitsplitsing per jaar en per ministerie)?</question><question>11 Deelt u de mening dat het niet correct weergeven van de feiten in strijd is met de wetenschappelijke kwaliteit die het PBL zegt na te leven? Zo nee, hoe verklaart u bovengenoemd voorbeeld, de onderbouwing van het PBL over het rapport Evaluatie Meststoffenwet 2016 waarin vooral is gewerkt met aannames en niet met harde feiten en het onderzoek Sjoemelnatuur waarin door middel van de Wet Openbaarheid Bestuur (WOB) is ontdekt dat het PBL een onjuist beeld neerzet van de biodiversiteit in Nederland?</question><question>12 Zijn er u nog andere voorbeelden bekend? Zo ja, welke (bijvoorbeeld op gebied van waterkwaliteit, ammoniak)?</question><question>13 Kunt u uitgebreid in gaan op de genoemde voorbeelden en kunt u per voorbeeld aangeven of er bij de beleidsvorming aanpassing heeft plaatsgevonden nadat bleek dat het advies van PBL niet juist was?</question><question>14 Erkent u dat de betrouwbaarheid van PBL-adviezen door deze onjuiste gegevens in het geding komt? Zo nee, waarom niet? Zo ja, welke gevolgen heeft dit voor de toekomstige adviezen van het PBL?</question><question>15 De genoemde (gerectificeerde) cijfers in het Telegraafbericht komen uit het artikel ‘Food choices, health and environment: Effects of cutting Europe’s meat and dairy intake’, waarin ook de uitstoot van stikstof (ammoniak en nitraat) wordt benoemd; geldt de stikstofdaling ook alleen voor de landbouw gerelateerde emissies? Zo ja, waarom wordt dit niet benoemd door het PBL? Zo nee, heeft het PBL ook deze cijfers nogmaals onderzocht op juistheid? (2)</question><question>16 De minister van Landbouw, Natuur en Voedselkwaliteit zou eind 2018 een brief aan de Kamer doen toekomen over verschillende zaken rondom ammoniak (Kamerstuk 32 670, nr. 139); wanneer verwacht u de brief plus het rapport van het Rathenau Instituut naar de Kamer te sturen?</question><question>17 Wordt in het genoemde rapport onder vraag 16 ook de onderbouwing geleverd van een aantal (recent genomen) maatregelen met betrekking tot bijvoorbeeld de toediening van mest? Zo nee, waarom niet en wanneer wordt deze onderbouwing alsnog met de Kamer gedeeld?</question><question>18 Wilt u de vragen één voor één beantwoorden?(1) https://www.telegraaf.nl/financieel/3000761/planbureau-moet-cijfers-over-klimaatschade-vlees-snel-bijstellen(2) https://www.pbl.nl/publicaties/minder-vlees-eten-levert-forse-klimaatwinst-op  </question></questions>"
De chaos bij het Centraal Bureau Rijvaardigheidsbewijzen (CBR)  ;C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en Waterstaat  ;CBR#BEROEPSUITOEFENING#KWALITEIT#VRACHTWAGENCHAUFFEURS#GOEDERENVERVOER#ECONOMISCHE ONTWIKKELING;<questions><question>1 Bent u bekend met het nieuwsbericht van 4 januari jl., waarin duidelijk is geworden dat beroepschauffeurs in de problemen komen door chaos bij het CBR? (1)</question><question>2 Bent u het met de PVV-fractie eens dat het onaanvaardbaar is dat beroepschauffeurs, die elke dag keihard werken voor Nederland, in grote problemen komen door deze chaos bij het CBR?</question><question>3 Kunt u aangeven wanneer de chaos bij het CBR voorbij is?</question><question>4 Bent u, gezien het enorme belang van de transportsector voor de Nederlandse economie, bereid om op korte termijn met een oplossing te komen?</question><question>5 Kunt u zeggen wie de gedupeerde beroepschauffeurs die nu werkloos thuis zitten gaat compenseren?(1) Website De Telegraaf, 4 januari 2019 (https://www.telegraaf.nl/nieuws/2986799/beroepschauffeurs-werkloos-door-chaos-bij-cbr)  </question></questions>
De containers die overboord zijn geslagen bij de Waddeneilanden  ;S. van Veldhoven-van der MeerD66Staatssecretaris van Infrastructuur en Waterstaat  ;WADDENZEE#WADDENEILANDEN#CONTAINERS#SCHEEPVAART#STRAFRECHT#SCHADEVERGOEDING#AANSPRAKELIJKHEID#RIJKSWATERSTAAT#TOEZICHT#CIJFERS#INFORMATIE EN COMMUNICA#TIE#GRENSOVERSCHRIJDENDE SAMENWERKING#NEDERLAND#DUITSLAND#GEVAARLIJKE STOFFEN#CHIPS (MICRO-ELEKTRONICA)#OPSPORINGEN;<questions><question>1 Heeft u kennisgenomen van de berichtgeving over 270 containers die overboord zijn geslagen bij de Waddeneilanden, waarvan sommige containers met giftige stoffen? (1)</question><question>2 Kunt u aangeven wat de vervolgprocedures zijn, zowel qua het verhalen van de schade als het strafrechtelijke vervolg?</question><question>3 Op welke wijze worden de verloren containers geborgen, wie voert dit uit en wie wordt hiervoor aansprakelijk gesteld?</question><question>4 Is Rijkswaterstaat als beheerder juist en op tijd geïnformeerd door de reder? Welke acties zijn hier uit voortgekomen?</question><question>5 Hoe wordt er samengewerkt met de lokale, regionale, maar ook Duitse autoriteiten?</question><question>6 Wat is de oorzaak van dit incident en op welke manier zijn de Nederlandse autoriteiten betrokken bij eventueel onderzoek? Stelt u gezien de zeer uitzonderlijke omvang zelf een nader onderzoek in?</question><question>7 Hoe staat het met de opvolging van de aanbevelingen uit het rapport, d.d. 30 augustus 2010, van de toenmalige Inspectie Verkeer en Waterstaat naar aanleiding van de thema-actie Sjorringen, waarbij bleek dat de containers slechts op 46% van de schepen conform de daarvoor gestelde normen waren vastgesjord?</question><question>8 Hoeveel containers zijn er sinds 2010 over boord geslagen en wat waren daarbij de belangrijkste oorzaken?</question><question>9 Welke acties zijn door en/of vanuit uw ministerie recent op nationaal en internationaal niveau (bijvoorbeeld Internationale Maritieme Organisatie - IMO) ondernomen om overboord geslagen containers te voorkomen?</question><question>10 Klopt de berichtgeving dat een aantal containers de gevaarlijke organische peroxiden in poedervorm bevatten? Zo ja, is reeds bekend of die containers al zijn aangespoeld? Wat gaat u ondernemen om de schade te voorkomen?</question><question>11 Zou u zich willen inzetten om alle containers te voorzien van een chip en een tracking device, zodat containers eenvoudiger op te  sporen zijn?(1) https://nos.nl/artikel/2265891-270-containers-overboord-geslagen-bij-wadden-sommige-met-giftige-stof.htm  </question></questions>
Het bericht dat 270 containers overboord geslagen zijn bij de Waddeneilanden  ;C. van Nieuwenhuizen WijbengaVVDMinister van Infrastructuur en WaterstaatK.H. OllongrenD66Minister van Binnenlandse Zaken en Koninkrijksrelaties  ;WADDENEILANDEN#WADDENZEE#SCHEEPVAART#CONTAINERS#GEVAARLIJKE STOFFEN#NATUUR#RAMPEN#STRAFRECHT#AANSPRAKELIJKHEID#GEZONDHEIDSEFFEC#TEN#RIJKSWATERSTAAT#CHIPS (MICRO-ELEKTRONICA)#INTERDEPARTEMENTALE BELEIDSCOÖRDINATIE#MINISTERIE VAN BINNENLANDSE ZAKEN EN KONINKRIJKSRELATIES;"<questions><question>1 Heeft u kennisgenomen van het bericht ""270 containers overboord geslagen bij Wadden, sommige met giftige stof""? (1)</question><question>2 Deelt u de mening dat dit een ernstige ramp is voor één van de mooiste natuurgebieden van Nederland?</question><question>3 Deelt u de mening dat deze ramp reden is voor het nemen van serieuze stappen, zodat dit nooit meer kan gebeuren?</question><question>4 Kun u aangeven welke stappen u momenteel neemt om de oorzaak en impact van deze ramp vast te stellen?</question><question>5 Kunt u bevestigen dat de reder strafrechtelijk aansprakelijk wordt gesteld en aangeven binnen welk tijdsbestek dit zal verlopen? (2)</question><question>6 Welke risico’s voor de volksgezondheid en het milieu bestaan er door het aanspoelen van onder andere de giftige stof benzoylperoxide?</question><question>7 Welke stappen gaat u nemen om te verzekeren dat de giftige stof benzoylperoxide en mogelijke andere stoffen geen letsel veroorzaken?</question><question>8 Deelt u de mening dat het in de arm nemen van een bergingsbedrijf door de reder twee dagen na het voltrekken van de ramp het trage handelen van de reder aantoont?</question><question>9 Kunt u aangeven of de reder snel en adequaat genoeg Rijkswaterstaat op de hoogte heeft gebracht na het voltrekken van de containerramp?</question><question>10 Kunt u inzicht bieden in hoe er zowel op lokaal, nationaal als internationaal niveau wordt samengewerkt om de effecten van deze ramp te beperken? Wordt er samengewerkt met verenigingen die zich inzetten voor het werelderfgoed Waddenzee, zoals de Waddenvereniging? Zo nee, waarom niet?</question><question>11 Welke acties zijn er genomen naar aanleiding van het onderzoek waaruit bleek dat 60% van de reders zich niet houdt aan het internationale sjorplan? Is dit handelen afdoende geweest? Zo ja, hoe heeft deze ramp dan toch kunnen gebeuren? Zo nee, welke acties gaan er genomen worden? (3)</question><question>12 Bent u bereid om de eerdere aanbeveling van de PvdA om containers te voorzien van een chip, zodat deze getraceerd kunnen worden, over te nemen? Zo nee, waarom niet?</question><question>13 Welke rol zal de minister van Binnenlandse Zaken spelen als coördinerend ministerie bij deze ramp? Hoe en wanneer zal de Kamer hier in detail over worden geïnformeerd?</question><question>14 Bent u bereid het rampenplan in werking te zetten om zowel de volksgezondheid als de natuur te behoeden voor verdere gevolgen? Zo nee, waarom niet?(1) NOS, 2 januari 2019, ""270 containers overboord geslagen bij Wadden, sommige met giftige stof"" (https://nos.nl/artikel/2265891-270-containers-overboord-geslagen-bij-wadden-sommige-met-giftige-stof.html)(2) Nu.nl, 4 januari 2019, ""Strafrechtelijk onderzoek naar rederij aangespoelde containers Wadden""(https://www.nu.nl/binnenland/5664740/strafrechtelijk-onderzoek-naar-rederij-aangespoelde-containers-wadden.html?redirect=1)(3) NOS.nl, 4 januari 2019, ""Gemiddeld vallen 150 zeecontainers per jaar in de Waddenzee"" (https://nos.nl/nieuwsuur/artikel/2266193-gemiddeld-vallen-150-zeecontainers-per-jaar-in-de-waddenzee.html)Toelichting: Deze vragen dienen ter aanvulling op eerdere vragen terzake van de leden Von Martles (CDA), ingezonden 7 januari 2019 (vraagnummer 2019Z00066), De Groot, Schonis (beiden D66), Bromet en Kröger (beiden GroenLinks), ingezonden 7 januari 2019 (vraagnummer 2019Z00069).  </question></questions>"
